sample_id,context_length_words_target,target_depth_percent,actual_depth_percent_by_char,needle_char_start_in_context,needle_char_end_in_context,prompt_path
niah_len4000_depth100,4000,100.0,100.0000,23382,23477,ymluo\projects\qwen3_kcache_l2_neighbor_analysis\data\needle_in_haystack\prompts\niah_len4000_depth100.txt
niah_len8000_depth0,8000,0.0,0.0000,0,95,ymluo\projects\qwen3_kcache_l2_neighbor_analysis\data\needle_in_haystack\prompts\niah_len8000_depth0.txt
niah_len8000_depth10,8000,10.0,10.1840,4750,4845,ymluo\projects\qwen3_kcache_l2_neighbor_analysis\data\needle_in_haystack\prompts\niah_len8000_depth10.txt
niah_len8000_depth25,8000,25.0,24.8713,11599,11694,ymluo\projects\qwen3_kcache_l2_neighbor_analysis\data\needle_in_haystack\prompts\niah_len8000_depth25.txt
niah_len8000_depth50,8000,50.0,49.6826,23166,23261,ymluo\projects\qwen3_kcache_l2_neighbor_analysis\data\needle_in_haystack\prompts\niah_len8000_depth50.txt
niah_len8000_depth75,8000,75.0,74.8113,34886,34981,ymluo\projects\qwen3_kcache_l2_neighbor_analysis\data\needle_in_haystack\prompts\niah_len8000_depth75.txt
niah_len8000_depth90,8000,90.0,90.0691,42002,42097,ymluo\projects\qwen3_kcache_l2_neighbor_analysis\data\needle_in_haystack\prompts\niah_len8000_depth90.txt
niah_len8000_depth100,8000,100.0,100.0000,46634,46729,ymluo\projects\qwen3_kcache_l2_neighbor_analysis\data\needle_in_haystack\prompts\niah_len8000_depth100.txt
niah_len16000_depth0,16000,0.0,0.0000,0,95,ymluo\projects\qwen3_kcache_l2_neighbor_analysis\data\needle_in_haystack\prompts\niah_len16000_depth0.txt
niah_len16000_depth10,16000,10.0,10.1371,9362,9457,ymluo\projects\qwen3_kcache_l2_neighbor_analysis\data\needle_in_haystack\prompts\niah_len16000_depth10.txt
niah_len16000_depth25,16000,25.0,25.0861,23166,23261,ymluo\projects\qwen3_kcache_l2_neighbor_analysis\data\needle_in_haystack\prompts\niah_len16000_depth25.txt
niah_len16000_depth50,16000,50.0,50.4775,46618,46713,ymluo\projects\qwen3_kcache_l2_neighbor_analysis\data\needle_in_haystack\prompts\niah_len16000_depth50.txt
niah_len16000_depth75,16000,75.0,74.8197,69099,69194,ymluo\projects\qwen3_kcache_l2_neighbor_analysis\data\needle_in_haystack\prompts\niah_len16000_depth75.txt
niah_len16000_depth90,16000,90.0,89.9950,83114,83209,ymluo\projects\qwen3_kcache_l2_neighbor_analysis\data\needle_in_haystack\prompts\niah_len16000_depth90.txt
niah_len16000_depth100,16000,100.0,100.0000,92356,92451,ymluo\projects\qwen3_kcache_l2_neighbor_analysis\data\needle_in_haystack\prompts\niah_len16000_depth100.txt
