task_id,mode,target_key,target_index,target_label,pred_label,correct,score_A,score_B,score_C,score_D
18,baseline,K018028-3CBPUBK,28,B,B,1,-1.7176920175552368,-1.3817545175552368,-2.4520668983459473,-2.7098793983459473
18,qabs8cand5reuse,K018028-3CBPUBK,28,B,B,1,-1.855995774269104,-1.262245774269104,-2.1763081550598145,-3.0044331550598145
19,baseline,K019044-QWFG8W9,44,A,C,0,-3.353891372680664,-2.244516372680664,-1.0570164918899536,-2.510141372680664
19,qabs8cand5reuse,K019044-QWFG8W9,44,A,C,0,-3.4717979431152344,-2.7842979431152344,-1.995235562324524,-2.0342979431152344
20,baseline,K020030-7SDZV5G,30,B,D,0,-3.888594150543213,-2.646406650543213,-2.521406650543213,-0.7010942101478577
20,qabs8cand5reuse,K020030-7SDZV5G,30,B,D,0,-3.405104637145996,-2.709792137145996,-2.366042137145996,-1.1082295179367065
21,baseline,K021063-VDNFS8A,63,A,A,1,-0.765697181224823,-5.211009502410889,-1.6719472408294678,-4.054759502410889
21,qabs8cand5reuse,K021063-VDNFS8A,63,A,C,0,-2.277970790863037,-4.074845790863037,-1.2467206716537476,-3.871720790863037
22,baseline,K022001-6D2XH8W,1,B,B,1,-1.736393690109253,-1.455143690109253,-1.908268690109253,-3.478581190109253
22,qabs8cand5reuse,K022001-6D2XH8W,1,B,B,1,-2.4783718585968018,-1.2986843585968018,-2.8768093585968018,-3.5486843585968018
23,baseline,K023059-ZF9Y7Z5,59,B,B,1,-3.8630223274230957,-1.3083348274230957,-1.5270848274230957,-2.6911473274230957
23,qabs8cand5reuse,K023059-ZF9Y7Z5,59,B,C,0,-3.0620977878570557,-2.6011602878570557,-2.0464727878570557,-3.2495977878570557
24,baseline,K024042-Y6W7JQL,42,A,C,0,-2.7657666206359863,-3.5392041206359863,-0.9454540014266968,-2.1954541206359863
24,qabs8cand5reuse,K024042-Y6W7JQL,42,A,C,0,-2.118748188018799,-2.860935688018799,-1.8374983072280884,-2.790623188018799
25,baseline,K025040-C7ZWA7B,40,D,C,0,-2.9139211177825928,-2.9451711177825928,-0.882671058177948,-2.2186086177825928
25,qabs8cand5reuse,K025040-C7ZWA7B,40,D,C,0,-2.864910125732422,-2.568035125732422,-1.4430352449417114,-2.810222625732422
26,baseline,K026039-PZEYC6V,39,B,C,0,-2.8225185871124268,-2.7522060871124268,-1.0881435871124268,-2.8147060871124268
26,qabs8cand5reuse,K026039-PZEYC6V,39,B,C,0,-2.4768805503845215,-2.6487555503845215,-2.0237555503845215,-3.4925055503845215
27,baseline,K027016-JFBU3H3,16,D,D,1,-3.8139877319335938,-4.860862731933594,-1.4858626127243042,-0.7202376127243042
27,qabs8cand5reuse,K027016-JFBU3H3,16,D,C,0,-4.4027934074401855,-4.8012309074401855,-0.33248069882392883,-3.2074806690216064
28,baseline,K028037-4ZSB2C8,37,A,D,0,-1.9974406957626343,-2.153690814971924,-1.9818156957626343,-1.4036906957626343
28,qabs8cand5reuse,K028037-4ZSB2C8,37,A,D,0,-2.164126396179199,-2.046938896179199,-2.211001396179199,-1.7188138961791992
29,baseline,K029041-TJRHMQY,41,B,D,0,-3.081266403198242,-3.050016403198242,-2.026578903198242,-0.932828962802887
29,qabs8cand5reuse,K029041-TJRHMQY,41,B,C,0,-1.8497586250305176,-2.8966336250305176,-1.5685086250305176,-3.4122586250305176
30,baseline,K030037-VEPXT8W,37,D,C,0,-2.895425796508789,-3.403238296508789,-0.5829257965087891,-3.621988296508789
30,qabs8cand5reuse,K030037-VEPXT8W,37,D,C,0,-2.30374813079834,-2.63187313079834,-1.3740607500076294,-3.83499813079834
31,baseline,K031044-NSHSMR3,44,C,C,1,-3.8213114738464355,-3.2822489738464355,-0.9853740334510803,-1.7822489738464355
31,qabs8cand5reuse,K031044-NSHSMR3,44,C,C,1,-2.9194655418395996,-3.2007155418395996,-1.28665292263031,-2.4429030418395996
