variant,task_id,mode,target_key,target_index,target_label,pred_label,correct,score_A,score_B,score_C,score_D
compact_kv,13,qabs8cand5reuse,K013010-NYF8AQV,10,C,A,0,-1.5451343059539795,-2.8888843059539795,-2.4904468059539795,-1.8888843059539795
compact_kv,14,baseline,K014012-HM5JXWJ,12,B,B,1,-1.970313549041748,-1.064063549041748,-3.157813549041748,-4.751563549041748
compact_kv,14,qabs8cand5reuse,K014012-HM5JXWJ,12,B,B,1,-2.2523486614227295,-1.6742236614227295,-1.9242236614227295,-3.5023486614227295
compact_kv,15,baseline,K015005-8BXAYR2,5,A,A,1,-1.1365325450897217,-3.7693450450897217,-4.370907783508301,-5.253720283508301
compact_kv,15,qabs8cand5reuse,K015005-8BXAYR2,5,A,A,1,-1.2817174196243286,-2.523904800415039,-2.937967300415039,-2.906717300415039
json_kv,0,baseline,K000010-KWU6MV4,10,D,A,0,-1.2687324285507202,-1.6906074285507202,-4.40154504776001,-2.1437325477600098
json_kv,0,qabs8cand5reuse,K000010-KWU6MV4,10,D,A,0,-1.3994042873382568,-1.5087792873382568,-3.290029287338257,-3.102529287338257
json_kv,1,baseline,K001012-798XGAD,12,C,C,1,-5.649134635925293,-3.211634874343872,-0.1491347700357437,-5.836634635925293
json_kv,1,qabs8cand5reuse,K001012-798XGAD,12,C,C,1,-2.857107639312744,-1.2789827585220337,-0.9977327585220337,-2.560232639312744
json_kv,2,baseline,K002008-9XDAPCX,8,B,B,1,-4.628735065460205,-0.6599851846694946,-1.5974851846694946,-3.628735065460205
json_kv,2,qabs8cand5reuse,K002008-9XDAPCX,8,B,B,1,-3.961754322052002,-0.9461294412612915,-1.1492544412612915,-3.133629322052002
json_kv,3,baseline,K003004-VBEVZVC,4,A,A,1,-0.3110009729862213,-5.295375823974609,-4.514125823974609,-3.2485010623931885
json_kv,3,qabs8cand5reuse,K003004-VBEVZVC,4,A,A,1,-0.45312297344207764,-4.687498092651367,-3.156248092651367,-1.8124979734420776
json_kv,4,baseline,K004013-XLK9J9L,13,A,A,1,-0.25182637572288513,-4.986201286315918,-4.986201286315918,-3.064326286315918
json_kv,4,qabs8cand5reuse,K004013-XLK9J9L,13,A,A,1,-0.8785058259963989,-2.7378807067871094,-3.4722557067871094,-1.144130825996399
json_kv,5,baseline,K005010-ZEBUYYY,10,C,C,1,-4.051167011260986,-4.394917011260986,-0.14491680264472961,-5.746479511260986
json_kv,5,qabs8cand5reuse,K005010-ZEBUYYY,10,C,C,1,-2.899606227874756,-2.258981227874756,-0.32148122787475586,-4.133981227874756
json_kv,6,baseline,K006009-GKTMT2H,9,D,C,0,-3.8815205097198486,-5.100270748138428,-0.2721455991268158,-3.6471455097198486
json_kv,6,qabs8cand5reuse,K006009-GKTMT2H,9,D,C,0,-3.004033088684082,-3.816533088684082,-0.2227831929922104,-4.097783088684082
json_kv,7,baseline,K007006-FTAG53C,6,A,D,0,-1.322224736213684,-2.7753496170043945,-3.8222246170043945,-1.212849736213684
json_kv,7,qabs8cand5reuse,K007006-FTAG53C,6,A,D,0,-1.4905610084533691,-2.615561008453369,-3.381186008453369,-0.7249360084533691
json_kv,8,baseline,K008014-ABUPFNB,14,D,A,0,-0.8490281701087952,-4.89590311050415,-4.36465311050415,-0.9896531701087952
json_kv,8,qabs8cand5reuse,K008014-ABUPFNB,14,D,A,0,-0.8448854088783264,-3.8292603492736816,-3.0167603492736816,-1.3761353492736816
json_kv,9,baseline,K009006-QZNS6G6,6,C,A,0,-1.059417486190796,-4.629730224609375,-1.153167486190796,-3.481292486190796
json_kv,9,qabs8cand5reuse,K009006-QZNS6G6,6,C,C,1,-1.2432128190994263,-3.6338376998901367,-1.0244628190994263,-3.1494626998901367
json_kv,10,baseline,K010014-97AJ8PD,14,A,A,1,-0.28796297311782837,-4.975462913513184,-3.4285879135131836,-4.631712913513184
json_kv,10,qabs8cand5reuse,K010014-97AJ8PD,14,A,A,1,-0.6225486993789673,-2.2319235801696777,-2.7475485801696777,-2.7319235801696777
json_kv,11,baseline,K011010-2TH5XC7,10,A,A,1,-0.4521641135215759,-3.3271641731262207,-3.6709141731262207,-3.5771641731262207
json_kv,11,qabs8cand5reuse,K011010-2TH5XC7,10,A,A,1,-0.32159918546676636,-5.751286506652832,-3.930974245071411,-2.634099245071411
json_kv,12,baseline,K012009-DRZRQZN,9,D,C,0,-4.381716251373291,-5.069216251373291,-0.28796637058258057,-3.006716251373291
json_kv,12,qabs8cand5reuse,K012009-DRZRQZN,9,D,C,0,-3.195969820022583,-3.274094820022583,-0.4303448796272278,-2.274094820022583
json_kv,13,baseline,K013008-PBMR3UJ,8,D,B,0,-3.869863986968994,-0.9011139273643494,-3.010488986968994,-1.4792389869689941
json_kv,13,qabs8cand5reuse,K013008-PBMR3UJ,8,D,B,0,-3.5582058429718018,-0.41758081316947937,-2.1207058429718018,-3.6832058429718018
json_kv,14,baseline,K014004-WEYBF59,4,A,A,1,-1.1909105777740479,-1.9877855777740479,-3.909660577774048,-5.737785339355469
json_kv,14,qabs8cand5reuse,K014004-WEYBF59,4,A,A,1,-0.5124680399894714,-2.668718099594116,-4.028092861175537,-6.145280361175537
json_kv,15,baseline,K015005-MMPQU5V,5,B,B,1,-2.2311697006225586,-0.637419581413269,-5.449919700622559,-2.6217947006225586
json_kv,15,qabs8cand5reuse,K015005-MMPQU5V,5,B,B,1,-1.4234445095062256,-0.7046944499015808,-5.7671942710876465,-4.0796942710876465
topic_table,0,baseline,K000002-94FBTHJ,2,C,A,0,-0.9671555757522583,-3.0765304565429688,-2.5765304565429688,-5.014030456542969
topic_table,0,qabs8cand5reuse,K000002-94FBTHJ,2,C,A,0,-1.5452739000320435,-3.201523780822754,-1.9046489000320435,-2.764023780822754
topic_table,1,baseline,K001015-KGHLCDQ,15,C,C,1,-4.539210796356201,-5.132960796356201,-0.2892109453678131,-6.906398296356201
topic_table,1,qabs8cand5reuse,K001015-KGHLCDQ,15,C,C,1,-2.0203425884246826,-3.0828425884246826,-1.6140925884246826,-4.739092826843262
topic_table,2,baseline,K002000-HYSMQDD,0,A,A,1,-0.2552589178085327,-5.364634037017822,-6.341196537017822,-5.638071537017822
topic_table,2,qabs8cand5reuse,K002000-HYSMQDD,0,A,A,1,-0.21547509729862213,-5.285787582397461,-6.309225082397461,-5.434225082397461
topic_table,3,baseline,K003004-FKHYPC2,4,D,D,1,-3.0612754821777344,-5.483150482177734,-4.631587982177734,-0.5612754821777344
topic_table,3,qabs8cand5reuse,K003004-FKHYPC2,4,D,D,1,-2.0280561447143555,-4.5280561447143555,-1.871806025505066,-0.9186810255050659
topic_table,4,baseline,K004008-V45TNVP,8,A,A,1,-0.3230983316898346,-6.580910682678223,-4.307473182678223,-5.541848182678223
topic_table,4,qabs8cand5reuse,K004008-V45TNVP,8,A,A,1,-0.9829139709472656,-3.4438514709472656,-2.9672889709472656,-1.9829139709472656
topic_table,5,baseline,K005007-B24BSJY,7,B,A,0,-0.7083081007003784,-1.5364331007003784,-4.817683219909668,-5.466120719909668
topic_table,5,qabs8cand5reuse,K005007-B24BSJY,7,B,A,0,-0.3220606744289398,-3.0564355850219727,-3.8064355850219727,-5.025185585021973
topic_table,6,baseline,K006004-Q4U866Y,4,B,A,0,-1.5341438055038452,-2.0966439247131348,-3.5341439247131348,-2.7997689247131348
topic_table,6,qabs8cand5reuse,K006004-Q4U866Y,4,B,A,0,-1.205446720123291,-2.658571720123291,-3.596071720123291,-3.064821720123291
topic_table,7,baseline,K007013-MQNJ7HT,13,D,D,1,-5.870357513427734,-5.581295013427734,-2.3859825134277344,-0.2922323942184448
topic_table,7,qabs8cand5reuse,K007013-MQNJ7HT,13,D,C,0,-4.5321736335754395,-3.4696736335754395,-0.7821736931800842,-1.7665486335754395
topic_table,8,baseline,K008008-ZHC2XRK,8,C,C,1,-2.8739171028137207,-3.7020421028137207,-1.3270419836044312,-1.3739169836044312
topic_table,8,qabs8cand5reuse,K008008-ZHC2XRK,8,C,A,0,-1.4015955924987793,-2.6047205924987793,-2.6203455924987793,-2.4484705924987793
topic_table,9,baseline,K009006-W9CYBYS,6,B,B,1,-1.9805946350097656,-0.7305946350097656,-3.7930946350097656,-6.105594635009766
topic_table,9,qabs8cand5reuse,K009006-W9CYBYS,6,B,B,1,-1.4375718832015991,-0.7500718832015991,-3.7813220024108887,-5.500072002410889
topic_table,10,baseline,K010008-G5QVRY3,8,A,A,1,-0.881475567817688,-3.3033504486083984,-4.600225448608398,-2.2877254486083984
topic_table,10,qabs8cand5reuse,K010008-G5QVRY3,8,A,A,1,-1.1331404447555542,-2.5237655639648438,-2.3831405639648438,-2.1487655639648438
topic_table,11,baseline,K011006-6RWJNMK,6,C,C,1,-2.4017679691314697,-4.612705230712891,-0.46426793932914734,-6.784580230712891
topic_table,11,qabs8cand5reuse,K011006-6RWJNMK,6,C,A,0,-1.0740854740142822,-1.9334604740142822,-2.6053354740142822,-4.261585235595703
topic_table,12,baseline,K012013-KJ8FBYU,13,D,D,1,-4.981606483459473,-6.161293983459473,-5.598793983459473,-0.22379422187805176
topic_table,12,qabs8cand5reuse,K012013-KJ8FBYU,13,D,D,1,-3.275822877883911,-3.916447877883911,-3.541447877883911,-0.8226979374885559
topic_table,13,baseline,K013011-5E4FLKL,11,D,D,1,-3.377706527709961,-2.799581527709961,-3.158956527709961,-0.7995815277099609
topic_table,13,qabs8cand5reuse,K013011-5E4FLKL,11,D,C,0,-2.7341315746307373,-3.0622565746307373,-2.0935065746307373,-2.1872565746307373
topic_table,14,baseline,K014002-2AHPFBE,2,B,A,0,-2.014939069747925,-2.577439069747925,-2.343064069747925,-2.968064069747925
topic_table,14,qabs8cand5reuse,K014002-2AHPFBE,2,B,D,0,-2.329267978668213,-2.204267978668213,-2.954267978668213,-1.204267978668213
topic_table,15,baseline,K015015-CNVYCP7,15,A,A,1,-0.26401621103286743,-8.420266151428223,-5.045266151428223,-7.295266151428223
topic_table,15,qabs8cand5reuse,K015015-CNVYCP7,15,A,A,1,-0.5651593804359436,-4.908909320831299,-3.346409320831299,-4.049534320831299
needle_sentence,0,baseline,K000002-55KTDG7,2,A,A,1,-1.3573310375213623,-5.693268775939941,-5.615143775939941,-4.544831275939941
needle_sentence,0,qabs8cand5reuse,K000002-55KTDG7,2,A,A,1,-1.1106529235839844,-4.759090423583984,-4.923152923583984,-2.7825279235839844
needle_sentence,1,baseline,K001004-92BJX9W,4,D,A,0,-1.8743196725845337,-4.421194553375244,-4.358694553375244,-3.405569553375244
needle_sentence,1,qabs8cand5reuse,K001004-92BJX9W,4,D,A,0,-2.3255584239959717,-3.4036834239959717,-4.239621162414551,-4.786496162414551
needle_sentence,2,baseline,K002002-SD2V4NW,2,B,A,0,-1.8282198905944824,-2.6563448905944824,-4.296969890594482,-4.195407390594482
needle_sentence,2,qabs8cand5reuse,K002002-SD2V4NW,2,B,A,0,-2.1356425285339355,-2.2606425285339355,-3.8231425285339355,-3.3700175285339355
needle_sentence,3,baseline,K003012-JUR3CVF,12,C,A,0,-2.065830707550049,-3.909580707550049,-2.237705707550049,-5.534580707550049
needle_sentence,3,qabs8cand5reuse,K003012-JUR3CVF,12,C,C,1,-2.7869176864624023,-4.036917686462402,-2.2556676864624023,-5.099417686462402
needle_sentence,4,baseline,K004008-YVK5S4V,8,A,A,1,-1.7261062860488892,-5.5229811668396,-2.2417311668395996,-5.7651686668396
needle_sentence,4,qabs8cand5reuse,K004008-YVK5S4V,8,A,A,1,-2.089054822921753,-5.096867561340332,-2.276554822921753,-5.323430061340332
needle_sentence,5,baseline,K005007-6RYX44Y,7,B,A,0,-2.352191686630249,-3.274066686630249,-3.875629186630249,-3.750629186630249
needle_sentence,5,qabs8cand5reuse,K005007-6RYX44Y,7,B,A,0,-2.3577334880828857,-3.8577334880828857,-3.0764834880828857,-4.240546226501465
needle_sentence,6,baseline,K006014-DGQT5BR,14,A,A,1,-1.4354825019836426,-6.068295001983643,-4.583920001983643,-4.677670001983643
needle_sentence,6,qabs8cand5reuse,K006014-DGQT5BR,14,A,A,1,-2.9227380752563477,-4.305550575256348,-4.633675575256348,-4.196175575256348
needle_sentence,7,baseline,K007014-S3H52E3,14,B,A,0,-1.7160520553588867,-3.1223020553588867,-5.442614555358887,-5.395739555358887
needle_sentence,7,qabs8cand5reuse,K007014-S3H52E3,14,B,A,0,-1.9228460788726807,-4.274408340454102,-4.391595840454102,-5.086908340454102
needle_sentence,8,baseline,K008010-4R7V9ZW,10,D,D,1,-2.3860864639282227,-5.276711463928223,-2.5892114639282227,-1.9329615831375122
needle_sentence,8,qabs8cand5reuse,K008010-4R7V9ZW,10,D,C,0,-3.406484603881836,-5.234609603881836,-2.125234603881836,-3.218984603881836
needle_sentence,9,baseline,K009003-7RLAX4B,3,A,A,1,-1.5902042388916016,-5.832391738891602,-4.105829238891602,-4.473016738891602
needle_sentence,9,qabs8cand5reuse,K009003-7RLAX4B,3,A,A,1,-1.6963613033294678,-5.313549041748047,-3.6416738033294678,-4.360424041748047
needle_sentence,10,baseline,K010011-SDQ8VN9,11,C,C,1,-3.110934257507324,-5.610934257507324,-1.1734343767166138,-4.407809257507324
needle_sentence,10,qabs8cand5reuse,K010011-SDQ8VN9,11,C,C,1,-3.0129470825195312,-4.153572082519531,-2.3098220825195312,-3.7629470825195312
needle_sentence,11,baseline,K011013-88AKM7P,13,B,C,0,-2.4954843521118164,-2.6517343521118164,-1.8392343521118164,-5.503296852111816
needle_sentence,11,qabs8cand5reuse,K011013-88AKM7P,13,B,C,0,-2.550967216491699,-4.175967216491699,-2.082217216491699,-5.488467216491699
needle_sentence,12,baseline,K012007-CZR5DMW,7,B,A,0,-2.3187830448150635,-2.4437830448150635,-4.748470306396484,-5.209407806396484
needle_sentence,12,qabs8cand5reuse,K012007-CZR5DMW,7,B,A,0,-2.6532137393951416,-3.2469637393951416,-4.2235260009765625,-4.8641510009765625
needle_sentence,13,baseline,K013012-UXGDRJD,12,C,C,1,-2.841970920562744,-4.591970920562744,-1.3575958013534546,-5.466970920562744
needle_sentence,13,qabs8cand5reuse,K013012-UXGDRJD,12,C,A,0,-2.7575016021728516,-3.3512516021728516,-3.0387516021728516,-4.913751602172852
needle_sentence,14,baseline,K014008-RR68ESD,8,A,A,1,-1.105049967765808,-5.347237586975098,-4.550362586975098,-5.300362586975098
needle_sentence,14,qabs8cand5reuse,K014008-RR68ESD,8,A,A,1,-1.2376744747161865,-5.159549713134766,-3.5501744747161865,-5.706424713134766
needle_sentence,15,baseline,K015001-U3JMQXN,1,C,C,1,-2.125509738922119,-4.656759738922119,-1.7505097389221191,-4.672384738922119
needle_sentence,15,qabs8cand5reuse,K015001-U3JMQXN,1,C,A,0,-2.0182859897613525,-4.205785751342773,-2.9870359897613525,-4.127660751342773
