task_id,mode,target_key,target_index,target_label,pred_label,correct,score_A,score_B,score_C,score_D
13,baseline,K013007-58DUDVZ,7,B,D,0,-3.606779098510742,-2.692716598510742,-2.380216598510742,-0.6380292177200317
13,qabs8cand5reuseblk8,K013007-58DUDVZ,7,B,B,1,-2.413160800933838,-1.874098300933838,-2.991285800933838,-2.538160800933838
14,baseline,K014003-2U5GW5H,3,B,B,1,-3.5456554889678955,-0.5144054889678955,-3.0144054889678955,-4.561280250549316
14,qabs8cand5reuseblk8,K014003-2U5GW5H,3,B,B,1,-3.0306203365325928,-0.780620276927948,-2.2181203365325928,-3.1165578365325928
15,baseline,K015057-EBMXUUG,57,A,A,1,-1.2126429080963135,-4.134517669677734,-2.0095179080963135,-4.486080169677734
15,qabs8cand5reuseblk8,K015057-EBMXUUG,57,A,C,0,-2.9754061698913574,-4.006656169891357,-0.647281289100647,-4.819156169891357
16,baseline,K016004-F4ZGTMV,4,C,B,0,-3.7562031745910645,-0.9124531745910645,-1.1780781745910645,-5.0530781745910645
16,qabs8cand5reuseblk8,K016004-F4ZGTMV,4,C,B,0,-3.6099929809570312,-1.0474928617477417,-1.0787428617477417,-4.695930480957031
17,baseline,K017052-WJK6F93,52,C,B,0,-1.673850178718567,-0.7832251787185669,-2.7754125595092773,-4.931662559509277
17,qabs8cand5reuseblk8,K017052-WJK6F93,52,C,A,0,-1.4058949947357178,-1.4058949947357178,-2.3355824947357178,-4.077770233154297
18,baseline,K018028-3CBPUBK,28,B,B,1,-1.7176920175552368,-1.3817545175552368,-2.4520668983459473,-2.7098793983459473
18,qabs8cand5reuseblk8,K018028-3CBPUBK,28,B,B,1,-2.6396889686584473,-0.772501528263092,-2.7178139686584473,-2.3975014686584473
19,baseline,K019044-QWFG8W9,44,A,C,0,-3.353891372680664,-2.244516372680664,-1.0570164918899536,-2.510141372680664
19,qabs8cand5reuseblk8,K019044-QWFG8W9,44,A,C,0,-3.9034078121185303,-1.9424703121185303,-0.8487203121185303,-2.7784078121185303
20,baseline,K020030-7SDZV5G,30,B,D,0,-3.888594150543213,-2.646406650543213,-2.521406650543213,-0.7010942101478577
20,qabs8cand5reuseblk8,K020030-7SDZV5G,30,B,D,0,-3.6632955074310303,-3.2101705074310303,-1.7023580074310303,-0.8586080074310303
21,baseline,K021063-VDNFS8A,63,A,A,1,-0.765697181224823,-5.211009502410889,-1.6719472408294678,-4.054759502410889
21,qabs8cand5reuseblk8,K021063-VDNFS8A,63,A,C,0,-1.4513189792633057,-4.318506240844727,-0.9981939792633057,-3.3185064792633057
22,baseline,K022001-6D2XH8W,1,B,B,1,-1.736393690109253,-1.455143690109253,-1.908268690109253,-3.478581190109253
22,qabs8cand5reuseblk8,K022001-6D2XH8W,1,B,B,1,-2.260815382003784,-1.2530028820037842,-2.237377882003784,-4.190503120422363
23,baseline,K023059-ZF9Y7Z5,59,B,B,1,-3.8630223274230957,-1.3083348274230957,-1.5270848274230957,-2.6911473274230957
23,qabs8cand5reuseblk8,K023059-ZF9Y7Z5,59,B,C,0,-4.077103137969971,-1.4755405187606812,-1.3349155187606812,-2.1317906379699707
24,baseline,K024042-Y6W7JQL,42,A,C,0,-2.7657666206359863,-3.5392041206359863,-0.9454540014266968,-2.1954541206359863
24,qabs8cand5reuseblk8,K024042-Y6W7JQL,42,A,C,0,-2.4038405418395996,-2.7319655418395996,-1.4819655418395996,-2.1069655418395996
25,baseline,K025040-C7ZWA7B,40,D,C,0,-2.9139211177825928,-2.9451711177825928,-0.882671058177948,-2.2186086177825928
25,qabs8cand5reuseblk8,K025040-C7ZWA7B,40,D,B,0,-2.767219066619873,-1.704719066619873,-2.079719066619873,-1.798469066619873
26,baseline,K026039-PZEYC6V,39,B,C,0,-2.8225185871124268,-2.7522060871124268,-1.0881435871124268,-2.8147060871124268
26,qabs8cand5reuseblk8,K026039-PZEYC6V,39,B,C,0,-2.147170066833496,-2.803420066833496,-1.0065449476242065,-3.186232566833496
27,baseline,K027016-JFBU3H3,16,D,D,1,-3.8139877319335938,-4.860862731933594,-1.4858626127243042,-0.7202376127243042
27,qabs8cand5reuseblk8,K027016-JFBU3H3,16,D,C,0,-4.318921089172363,-5.123608589172363,-0.1861087530851364,-3.5611088275909424
28,baseline,K028037-4ZSB2C8,37,A,D,0,-1.9974406957626343,-2.153690814971924,-1.9818156957626343,-1.4036906957626343
28,qabs8cand5reuseblk8,K028037-4ZSB2C8,37,A,C,0,-2.6537861824035645,-2.1928486824035645,-1.270973563194275,-1.817848563194275
29,baseline,K029041-TJRHMQY,41,B,D,0,-3.081266403198242,-3.050016403198242,-2.026578903198242,-0.932828962802887
29,qabs8cand5reuseblk8,K029041-TJRHMQY,41,B,C,0,-2.669661521911621,-2.732161521911621,-1.4430989027023315,-1.4899739027023315
30,baseline,K030037-VEPXT8W,37,D,C,0,-2.895425796508789,-3.403238296508789,-0.5829257965087891,-3.621988296508789
30,qabs8cand5reuseblk8,K030037-VEPXT8W,37,D,C,0,-2.396836757659912,-3.084336757659912,-0.8812118768692017,-4.099961757659912
31,baseline,K031044-NSHSMR3,44,C,C,1,-3.8213114738464355,-3.2822489738464355,-0.9853740334510803,-1.7822489738464355
31,qabs8cand5reuseblk8,K031044-NSHSMR3,44,C,C,1,-3.752960681915283,-3.581085681915283,-0.9717106223106384,-2.065460681915283
